1009,"LEVI STRAUSS HONG KONG LTD","HONG KONG"
1017,"LSCO (KR)","SOUTH KOREA"
1206,"SKYHARBOUR CSC",USA
1207,"CANTON CSC",USA
1208,"HEBRON CSC",USA
1605,"LEVI STRAUSS POLAND SP ZO.O",POLAND
1608,"LEVI STRAUSS CO CANADA CSC (REXDA",CANADA
1612,"LEVI STRAUSS CO. EUROPE","UNITED KINGDOM"
1614,"LSCO SKYHARBOR-AGILITY",USA
3015,"SAAB CO LTD",JAPAN
3126,"GENESCO INC",USA
3161,"DONGGUAN SUNRISE KNITTING LTD",CHINA
3247,"IMPERIAL GARMENTS SDN BERHAD",MALAYSIA
3249,"MBM GARMENTS LTD",BANGLADESH
3256,"AKHTAR TEXTILE INDUSTRIES (PVT) LTD",PAKISTAN
3269,"DONGGUAN GLOSS MIND APPAREL CO LTD",CHINA
3307,"COMBINED FABRICS LTD",PAKISTAN
3405,"CY GARMENTS CO LTD",LESOTHO
3417,"EVERBLUE APPARELS LTD",INDIA
3423,"GDM ENTERPRISE CO LTD",CAMBODIA
3430,"HIRDARAMANI MERCURY APPAREL(PVT)LTD","SRI LANKA"
3440,"KENPARK BANGLADESH (PVT) LTD",BANGLADESH
3449,"ORIT APPARELS LANKA PVT LTD","SRI LANKA"
3460,"ROO HSING GARMENT CO LTD",CAMBODIA
3481,"VIET HUNG JOINT STOCK CO",VIETNAM
3496,"ZHONGSHAN YIDA APPAREL LTD",CHINA
3514,"HIRDARAMANI INDUSTRIES(PVT)LTD- KUR","SRI LANKA"
3562,"UNITEX APPARELS PVT LTD",INDIA
3598,"AMBATTUR CLOTHING LTD",INDIA
3757,"LOTUS GARMENTS CO",EGYPT
3758,"MALWA INDUSTRIES LTD",INDIA
3803,"SRI LAKSHMI CLOTHINGS",INDIA
3813,"TAYEKS DIS TIC TEKSTIL SAN A S",TURKEY
3836,"SUPER PERFORMANCE TEXTILE",CHINA
3863,"MADAPROD SARL",MADAGASCAR
3937,"OPEX READYWEARS LTD",BANGLADESH
3939,"SINHA DENIMWEAR LTD",BANGLADESH
3947,"JINGLI (CHANG ZHOU) APPAREL LTD",CHINA
3950,"AQUARELLE INDIA PVT LTD",INDIA
3971,MINORONZONI,ITALY
4001,"APPAREL INTL INC",MEXICO
4006,"DINATEKS DINAMIK TEKSTIL SAN VE TIC",TURKEY
4051,"CI JEANS SA",COLOMBIA
4090,"ROPA SIETE LEGUAS",MEXICO
4093,"SINGLESOURCE APPAREL (AC2)",MEXICO
4102,"CHANGZHOU TOOKU GARMENTS CO LTD",CHINA
4103,"USLC APPAREL S,A",NICARAGUA
4147,"INDUSTRIAS MERLET S A DE CV","EL SALVADOR"
4177,"COSMOPOLITAN INDUSTRIES PVT LTD",BANGLADESH
4197,"GLOBAL GARMENTS (PTY) LTD",LESOTHO
4305,"TEXMIN-TEXTEIS, S.A.",PORTUGAL
4309,"US APPAREL AND TEXTILE (PVT) LTD",PAKISTAN
4311,"NISHAT MILLS LTD. (APPAREL DIVISIO",PAKISTAN
4384,"BRANDM APPAREL HAITI LTD.",HAITI
4402,"HIRDARAMANI GARMENT KATUNAYAKE (PVT","SRI LANKA"
4403,"HIRDARAMANI INDUSTRIES (PVT) LTD -","SRI LANKA"
4420,"NEW FASHION PRODUCTS INC",USA
4433,"XIANGCHENG MAR GARMENTS CO LTD",CHINA
4443,"LCB COMPANY SRL",ITALY
4460,"KALTEX ARGUS",NICARAGUA
4461,"LOOPTEX PVT. LTD.",PAKISTAN
4463,"RANDA ACCESSORIES LEATHER GOODS LLC",USA
4464,"ROYCE TOO LLC",USA
4468,"THE HADDAD APPAREL GROUP LTD",USA
4525,"AQUARELLE MADAGASCAR",MADAGASCAR
4528,"TALU TEKSTIL SAN VE TIC A S",TURKEY
4534,"SUNRISE FASHIONS",INDIA
4566,"PEARL GARMENTS CO LTD",BANGLADESH
4571,"HELA CLOTHING (PVT) LTD","SRI LANKA"
4582,"DENIMACH LTD",BANGLADESH
4588,"MAY HAI JOINT STOCK CO",VIETNAM
4649,"TC GARMENTS S.A.E",EGYPT
4674,"GLOSS MIND (JIANG XI) APPAREL LTD",CHINA
4686,"ANTORAF SRL",ITALY
4708,"AQUARELLE INDIA PVT LTD ( UNIT-6)",INDIA
4718,"MEDLAR APPARELS LTD",BANGLADESH
4729,"VIARI EXPORTS PRIVATE LTD",INDIA
4768,"JINJIANG K-CEL SPORTS GOODS CO LTD",CHINA
4802,"SC BELLARMA SNC",ROMANIA
4826,"RAM EXPORTS",INDIA
4831,"MIYANBAZAZ EXPORTS",INDIA
4834,"CANTON UNICORN LEATHER GOODS FACTOR",CHINA
4849,"AQUARELLE INDIA PVT LTD (UNIT 2)",INDIA
4853,"HELA CLOTHING (PVT) LTD - THIHARIYA","SRI LANKA"
4854,"VOGUE TEX (PVT) LTD - UNIT 1","SRI LANKA"
4891,"EUROTRADE SRL",ITALY
4958,"BAOFA (FUIJAN) SPORT GOODS CO LTD",CHINA
4959,"DBL LEATHER S.A. DE C.V.",MEXICO
4975,"NEW BO FUNG(ZHONGSHAN)LEATHER GOODS",CHINA
4976,"SAF CALZATURE DI MARTINELLI E C.SNC",ITALY
4977,"CHONGQING MUNICIPALITY, YOUYANG",CHINA
4978,"GEE KAY INTERNATIONAL",INDIA
4982,"DONGGUAN STANDFORD LEATHER GOODS",CHINA
4983,"SUGLOBAL TEKSTIL VE KONFEKSIYON SAN",TURKEY
4985,"LOTUS HI-TECH GARMENTS CO.",EGYPT
4986,"LOTUS HI-FASHION GARMENTS CO",EGYPT
4990,"DONGGUAN SZE CHEIK LEATHER GOODS",CHINA
4991,"LALMAI SPORTSWEAR IND LTD",BANGLADESH
4994,"CHANGZHOU TOOKU GARMENTS CO LTD",CHINA
4996,"MANUFACTURAS KALTEX SA DE CV",MEXICO
